date,total_value
2009-03-23 16:00:00,99676.0
2009-03-24 16:00:00,99681.0
2009-03-25 16:00:00,99668.0
2009-03-26 16:00:00,99668.0
2009-03-27 16:00:00,99668.0
2009-03-30 16:00:00,99668.0
2009-03-31 16:00:00,99668.0
2009-04-01 16:00:00,99668.0
2009-04-02 16:00:00,99668.0
2009-04-03 16:00:00,99668.0
2009-04-06 16:00:00,99668.0
2009-04-07 16:00:00,99668.0
2009-04-08 16:00:00,99668.0
2009-04-09 16:00:00,99668.0
2009-04-13 16:00:00,99668.0
2009-04-14 16:00:00,99665.0
2009-04-15 16:00:00,99690.0
2009-04-16 16:00:00,99719.0
2009-04-17 16:00:00,99618.0
2009-04-20 16:00:00,99623.0
2009-04-21 16:00:00,99687.0
2009-04-22 16:00:00,99585.0
2009-04-23 16:00:00,99636.0
2009-04-24 16:00:00,99611.0
2009-04-27 16:00:00,99611.0
2009-04-28 16:00:00,99611.0
2009-04-29 16:00:00,99611.0
2009-04-29 16:00:00,99611.0
2009-04-29 16:00:00,99611.0
2009-04-29 16:00:00,99611.0
2009-04-30 16:00:00,99728.0
2009-05-01 16:00:00,99815.0
2009-05-01 16:00:00,99815.0
2009-05-01 16:00:00,99815.0
2009-05-01 16:00:00,99815.0
2009-05-01 16:00:00,99815.0
2009-05-04 16:00:00,100572.0
2009-05-04 16:00:00,100572.0
2009-05-04 16:00:00,100572.0
2009-05-05 16:00:00,99794.0
2009-05-06 16:00:00,100257.0
2009-05-06 16:00:00,100257.0
2009-05-06 16:00:00,100257.0
2009-05-06 16:00:00,100257.0
2009-05-06 16:00:00,100257.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-07 16:00:00,100907.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-08 16:00:00,102329.0
2009-05-11 16:00:00,103091.0
2009-05-11 16:00:00,103091.0
2009-05-11 16:00:00,103091.0
2009-05-12 16:00:00,102632.0
2009-05-13 16:00:00,101496.0
2009-05-14 16:00:00,102057.0
